,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Average Price,Day_Perc_Change,Trend
171,2019-02-21,1104.21,1118.78,1119.15,1097.98,1660000.0,2,2019,1173.9405401763088,1110.03,-0.011060758042559238,Slight or No change
172,2019-02-20,1120.59,1128.88,1130.93,1111.75,1200000.0,2,2019,1173.6945359722556,1123.0375000000001,0.014834134811313016,Slight or No change
173,2019-02-19,1126.51,1116.64,1129.64,1116.64,1100000.0,2,2019,1173.4959342484788,1122.3575,0.005282931312969197,Slight or No change
174,2019-02-15,1119.63,1139.3,1139.3,1116.72,1390000.0,2,2019,1173.2109532680229,1128.7375000000002,-0.0061073581237626184,Slight or No change
175,2019-02-14,1129.2,1125.0,1136.13,1117.09,1060000.0,2,2019,1173.0341033463135,1126.855,0.008547466573778806,Slight or No change
176,2019-02-13,1128.63,1133.04,1142.85,1126.0,1400000.0,2,2019,1172.7996855524611,1132.63,-0.0005047821466523938,Slight or No change
177,2019-02-12,1127.58,1111.01,1132.86,1111.01,1750000.0,2,2019,1172.5032375486383,1120.615,-0.0009303314638102744,Slight or No change
178,2019-02-11,1102.12,1103.75,1113.43,1100.0,924880.0,2,2019,1172.2602212157772,1104.825,-0.02257932918285177,Slight or No change
179,2019-02-08,1102.38,1094.88,1105.1,1094.24,1090000.0,2,2019,1171.9770181401136,1099.15,0.0002359089754293553,Slight or No change
180,2019-02-07,1105.91,1111.82,1111.99,1093.59,1910000.0,2,2019,1171.5111510591341,1105.8275,0.0032021625936609066,Slight or No change
181,2019-02-06,1122.89,1149.27,1154.0,1118.36,2410000.0,2,2019,1171.0823663940653,1136.1299999999999,0.015353871472362224,Slight or No change
182,2019-02-05,1151.87,1129.63,1152.77,1123.6,4110000.0000000005,2,2019,1170.7976997210792,1139.4675,0.02580840509756066,Slight or No change
183,2019-02-04,1141.42,1119.01,1142.34,1117.51,3920000.0,2,2019,1170.3883227941346,1130.0700000000002,-0.009072204328613331,Slight or No change
184,2019-02-01,1118.62,1122.29,1134.4,1114.25,1660000.0,2,2019,1170.0846286356318,1122.3899999999999,-0.01997511871178026,Slight or No change
185,2019-01-31,1125.89,1112.24,1127.67,1105.25,2009999.9999999998,1,2019,1169.7729150134483,1117.7625,0.006499079222613835,Slight or No change
186,2019-01-30,1097.99,1077.36,1099.52,1076.64,1470000.0,1,2019,1169.404536583508,1087.8775,-0.02478039595342363,Slight or No change
187,2019-01-29,1070.06,1081.04,1084.73,1066.02,985250.0,1,2019,1169.0640068938687,1075.4625,-0.025437390140165217,Slight or No change
188,2019-01-28,1079.86,1090.07,1093.37,1074.61,1470000.0,1,2019,1168.6101166810001,1084.4775,0.00915836495149791,Slight or No change
